numero_funcionario,departamento,cargo,nivel_do_cargo,viagem_a_trabalho,horas_extras,num_empregos_anteriores,total_anos_experiencia,anos_na_empresa,anos_no_cargo_atual,anos_desde_ultima_promocao,anos_com_mesmo_gerente,desligado,avaliacao_de_desempenho,aumento_percentual_salario,treinamentos_ultimo_ano
331,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,0,4,3,2,1,2,1,3,14,2
332,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,7,7,3,2,1,2,0,3,14,1
333,Vendas,Executivo de Vendas,2,Não viaja,0,0,4,3,2,2,2,0,3,18,2
334,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,2,17,1,0,0,0,0,3,16,2
335,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,1,9,9,8,4,7,0,3,17,3
336,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,0,25,24,0,1,7,0,3,11,2
337,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja frequentemente,0,9,9,2,2,2,2,0,3,12,3
338,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,2,2,2,0,2,0,3,13,2
339,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,6,13,11,9,5,9,0,3,13,3
340,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,2,17,3,1,0,2,0,3,14,2
341,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja frequentemente,0,4,9,3,2,0,2,0,3,17,1
342,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja frequentemente,0,6,17,1,0,0,0,1,3,11,5
343,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja frequentemente,0,0,20,19,6,11,8,0,4,25,1
346,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,6,6,5,1,5,0,3,19,1
347,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,1,3,10,3,2,0,2,0,3,13,1
349,Vendas,Executivo de Vendas,2,Viaja raramente,0,2,10,3,2,0,2,0,3,14,2
350,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,0,5,4,2,1,2,0,3,12,3
351,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,0,10,9,6,7,8,0,3,11,4
352,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,0,22,21,7,3,9,0,3,19,5
353,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,1,1,0,0,0,0,3,11,0
355,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,0,6,5,4,1,4,1,3,11,2
359,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,1,5,5,1,0,3,0,4,20,3
361,Vendas,Executivo de Vendas,2,Não viaja,0,3,13,8,7,7,5,0,3,18,0
362,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,4,9,6,2,0,4,0,3,13,5
363,Vendas,Gerente,4,Viaja raramente,1,3,28,7,7,7,7,0,3,12,2
364,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,2,5,0,0,0,0,1,3,11,5
366,Vendas,Executivo de Vendas,2,Viaja raramente,0,2,10,0,0,0,0,0,3,19,2
367,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,0,10,9,0,7,8,0,4,21,2
369,Pesquisa e Desenvolvimento,Representante de Saúde,2,Não viaja,0,1,6,6,3,1,5,0,3,12,2
372,Pesquisa e Desenvolvimento,Representante de Saúde,4,Viaja raramente,1,0,21,20,7,4,10,0,3,14,2
373,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,16,15,13,10,11,0,3,11,4
374,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,1,0,37,36,10,4,13,0,3,14,2
376,Pesquisa e Desenvolvimento,Gerente,3,Não viaja,1,1,10,10,7,9,9,1,3,12,2
377,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,5,5,2,0,4,0,4,23,3
378,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,7,5,4,0,1,0,3,14,5
379,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,3,3,2,1,0,0,3,17,4
380,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Não viaja,1,2,15,5,2,0,2,0,3,18,2
381,Pesquisa e Desenvolvimento,Gerente,3,Viaja raramente,0,7,10,7,7,6,2,0,3,18,6
382,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,8,8,0,7,7,0,4,24,3
384,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja frequentemente,0,1,6,6,5,1,4,0,4,20,6
385,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,3,28,10,4,1,6,0,3,14,4
386,Pesquisa e Desenvolvimento,Diretor de Pesquisa,4,Viaja raramente,1,3,21,5,3,1,3,0,3,16,5
387,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,20,20,16,11,6,0,4,25,3
388,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,1,10,10,7,0,9,0,3,18,3
389,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,1,3,12,10,7,0,8,0,3,19,4
390,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja frequentemente,1,1,5,5,3,3,3,0,3,13,3
391,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,17,17,12,5,7,0,3,12,3
392,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,1,3,19,1,0,0,0,1,4,22,0
393,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,9,10,2,2,1,2,0,3,14,2
394,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,2,5,3,2,0,2,1,3,13,2
395,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,5,5,3,0,2,0,4,21,3
396,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja frequentemente,1,9,22,3,2,1,2,0,3,11,4
397,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,4,10,8,0,7,7,0,3,12,2
399,Vendas,Representante de Vendas,1,Viaja frequentemente,0,1,2,2,2,2,2,0,3,11,5
401,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,8,8,7,7,4,1,3,12,0
403,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,1,1,4,4,2,1,2,0,3,12,3
404,Vendas,Executivo de Vendas,4,Viaja frequentemente,0,5,23,20,4,4,8,0,3,14,2
405,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,0,0,0,0,0,1,3,13,2
406,Vendas,Executivo de Vendas,3,Viaja raramente,0,0,12,11,9,6,9,0,3,15,3
407,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,4,4,1,0,0,0,0,3,18,2
408,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,5,13,4,1,1,2,0,3,18,3
410,Vendas,Gerente,4,Viaja raramente,0,1,22,22,10,0,4,0,3,19,2
411,Vendas,Representante de Vendas,1,Viaja raramente,0,1,0,0,0,0,0,0,3,12,2
412,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,0,9,8,3,0,7,0,3,19,2
416,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,10,8,7,7,7,0,3,11,3
417,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,0,19,18,10,3,7,0,3,17,5
419,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Não viaja,0,7,11,9,8,0,8,0,3,15,3
420,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,13,13,8,4,8,0,3,14,3
421,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,0,3,19,10,8,0,1,0,3,17,2
422,Pesquisa e Desenvolvimento,Representante de Saúde,2,Não viaja,1,2,12,5,3,1,2,0,3,13,2
423,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,0,6,5,2,0,3,0,3,12,4
424,Recursos Humanos,Recursos Humanos,2,Viaja raramente,0,3,9,2,2,1,0,0,3,12,1
425,Pesquisa e Desenvolvimento,Técnico de Laboratório,3,Viaja frequentemente,0,1,24,24,9,9,11,0,3,18,2
426,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,0,3,2,2,2,2,0,3,18,2
428,Pesquisa e Desenvolvimento,Gerente,3,Viaja frequentemente,0,6,12,10,6,8,8,0,3,11,2
429,Pesquisa e Desenvolvimento,Gerente,4,Viaja raramente,1,1,21,21,9,11,10,0,3,14,3
430,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,0,9,8,7,1,7,0,3,19,5
431,Pesquisa e Desenvolvimento,Representante de Saúde,4,Viaja raramente,1,7,25,7,1,0,7,0,3,12,2
433,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,2,11,8,2,7,7,1,3,15,3
434,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,1,4,4,3,1,2,0,3,12,2
436,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,13,13,12,11,9,0,3,11,2
437,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,5,5,4,0,4,0,3,11,3
438,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,13,7,7,1,7,0,3,12,3
439,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,7,10,7,7,0,7,0,3,16,0
440,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,5,5,3,2,2,2,1,3,13,4
441,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,1,11,10,8,1,9,0,3,13,2
442,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja frequentemente,0,1,10,10,9,8,9,0,4,24,2
444,Pesquisa e Desenvolvimento,Gerente,5,Viaja frequentemente,0,1,21,21,9,13,3,0,3,15,2
445,Vendas,Executivo de Vendas,2,Viaja raramente,1,4,12,1,0,0,0,1,3,18,3
446,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,3,9,7,7,0,1,0,3,14,6
447,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,4,21,3,2,1,1,0,3,11,2
448,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja frequentemente,0,1,9,9,7,0,0,0,3,11,3
449,Vendas,Executivo de Vendas,2,Não viaja,1,0,6,5,4,1,4,0,3,13,0
450,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja frequentemente,0,3,20,4,3,0,3,0,3,12,4
451,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,8,10,1,0,0,0,0,3,16,1
452,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,9,12,10,9,9,8,0,3,14,3
453,Vendas,Executivo de Vendas,2,Viaja raramente,1,2,6,4,3,0,2,0,4,22,2
454,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,1,7,7,7,0,7,1,3,11,4
455,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,4,3,2,2,2,0,3,17,2
456,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,10,10,9,1,2,0,3,13,2
458,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,8,8,7,0,7,0,3,18,3
460,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,7,8,6,2,0,4,0,3,16,2
461,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,1,0,12,11,10,2,9,0,3,14,3
462,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,1,1,11,11,9,4,10,0,3,14,2
463,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,7,7,7,1,7,0,3,14,2
464,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,0,0,17,16,6,0,13,0,3,13,5
465,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,4,4,2,0,2,0,3,12,2
466,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,1,6,8,5,4,1,2,0,3,15,3
467,Vendas,Representante de Vendas,2,Viaja frequentemente,0,3,5,0,0,0,0,0,3,19,3
468,Pesquisa e Desenvolvimento,Diretor de Pesquisa,4,Viaja raramente,0,2,16,1,0,0,0,0,3,14,2
469,Vendas,Executivo de Vendas,2,Não viaja,0,1,4,4,3,0,2,0,3,14,3
470,Recursos Humanos,Recursos Humanos,1,Viaja raramente,1,0,4,3,2,1,0,0,3,11,5
471,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,8,8,0,0,7,0,3,13,4
473,Vendas,Gerente,3,Viaja raramente,0,3,15,0,0,0,0,0,4,21,3
474,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,1,4,13,7,7,6,7,0,3,13,2
475,Vendas,Executivo de Vendas,2,Não viaja,1,7,4,2,2,2,2,0,3,12,2
476,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,8,8,7,7,7,0,3,17,3
477,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,3,14,1,0,0,0,0,4,23,6
478,Vendas,Representante de Vendas,1,Viaja frequentemente,1,1,3,3,2,1,2,1,3,11,3
479,Vendas,Executivo de Vendas,2,Não viaja,0,4,7,1,0,0,0,0,3,15,6
481,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,4,16,13,9,1,12,0,3,11,2
482,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,2,15,3,2,1,2,0,3,11,2
483,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,3,10,7,7,1,7,0,3,13,3
484,Vendas,Representante de Vendas,1,Não viaja,0,1,3,3,2,2,2,0,4,24,3
485,Vendas,Representante de Vendas,1,Viaja raramente,1,1,1,1,0,0,0,1,3,13,2
486,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,6,17,5,4,0,3,0,4,20,3
487,Pesquisa e Desenvolvimento,Diretor de Produção,2,Não viaja,0,2,7,1,0,0,0,0,3,14,2
488,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,1,8,8,7,7,7,1,3,18,5
491,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,6,20,4,3,1,3,0,3,15,2
492,Vendas,Executivo de Vendas,2,Viaja raramente,1,2,8,6,4,1,0,1,3,12,6
493,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,0,3,2,2,2,2,0,3,16,5
494,Vendas,Representante de Vendas,1,Viaja raramente,0,1,1,1,0,0,0,1,3,15,0
495,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,9,6,3,2,1,2,0,3,16,4
496,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,9,10,1,1,0,0,0,3,19,5
497,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,5,5,2,0,4,0,3,11,2
498,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,7,7,5,0,7,0,3,16,1
499,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,8,26,5,2,0,0,0,4,24,2
500,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,18,7,7,0,7,0,3,11,2
501,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,4,6,2,2,2,2,0,3,13,3
502,Vendas,Executivo de Vendas,2,Não viaja,1,8,9,5,2,0,4,1,3,13,3
505,Pesquisa e Desenvolvimento,Gerente,4,Viaja raramente,1,2,30,5,4,1,2,0,3,13,2
507,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,5,5,2,0,3,0,3,12,2
508,Vendas,Representante de Vendas,1,Viaja raramente,0,1,1,1,0,0,0,0,3,18,3
510,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,0,0,7,6,4,0,4,1,4,22,2
511,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,2,2,1,1,2,0,3,13,1
513,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,10,10,9,9,0,0,3,13,2
514,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,1,9,3,1,0,0,0,1,4,23,4
515,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,18,18,7,12,17,0,3,12,2
516,Vendas,Executivo de Vendas,2,Viaja raramente,0,7,8,5,4,1,3,0,3,12,5
517,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,3,8,5,2,1,2,0,3,16,5
518,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,1,2,18,1,0,0,1,0,3,12,2
520,Pesquisa e Desenvolvimento,Diretor de Pesquisa,4,Viaja raramente,0,1,25,25,10,3,9,0,3,11,3
521,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,6,20,1,0,0,0,0,4,22,3
522,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,4,24,4,2,1,2,0,3,11,4
523,Vendas,Executivo de Vendas,2,Não viaja,0,9,6,3,2,1,2,0,3,15,3
524,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,1,13,13,10,3,12,0,3,12,5
525,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,7,8,3,2,1,2,0,4,20,1
526,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,1,4,8,5,2,0,2,0,3,14,3
527,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,5,5,4,1,3,0,3,11,3
529,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Não viaja,1,3,15,13,11,10,7,0,3,15,2
530,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,4,4,2,3,2,0,3,12,3
531,Pesquisa e Desenvolvimento,Gerente,5,Viaja frequentemente,1,1,21,21,8,1,6,0,3,14,3
532,Vendas,Executivo de Vendas,4,Viaja frequentemente,0,9,36,7,7,7,7,0,3,11,0
533,Vendas,Executivo de Vendas,2,Viaja raramente,0,0,6,5,4,4,4,0,3,11,6
534,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,10,10,7,0,7,0,3,16,2
536,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,1,10,10,0,1,8,0,3,12,2
538,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,5,6,2,2,0,2,1,3,13,5
543,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,1,2,28,5,4,0,4,0,3,14,4
544,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,3,8,2,2,0,2,0,4,21,3
546,Pesquisa e Desenvolvimento,Gerente,4,Viaja raramente,0,2,31,5,2,1,4,0,3,13,2
547,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja frequentemente,0,2,19,5,4,0,2,0,3,11,3
548,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,2,11,5,4,0,2,0,4,20,2
549,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,5,33,29,8,11,10,0,3,11,5
550,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,2,19,10,7,0,8,0,3,14,5
551,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja frequentemente,0,0,7,6,5,0,4,0,3,11,4
554,Vendas,Representante de Vendas,1,Viaja raramente,1,1,6,5,3,1,4,1,3,16,4
555,Vendas,Representante de Vendas,1,Viaja frequentemente,0,0,3,2,2,1,0,1,3,16,3
556,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,1,1,1,1,0,0,0,0,4,23,3
558,Vendas,Gerente,5,Viaja raramente,0,0,21,20,15,1,12,0,3,14,2
560,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,3,3,2,0,2,0,4,22,3
562,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Não viaja,0,4,9,5,3,1,4,0,3,15,3
564,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,0,1,10,10,2,0,7,0,3,18,2
565,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,5,6,2,2,1,1,1,3,16,2
566,Recursos Humanos,Recursos Humanos,1,Viaja raramente,0,1,1,1,0,0,0,1,3,12,3
567,Vendas,Executivo de Vendas,3,Não viaja,0,0,10,9,8,7,8,0,3,11,3
568,Vendas,Gerente,4,Viaja raramente,0,3,32,1,0,0,0,0,3,12,3
569,Pesquisa e Desenvolvimento,Gerente,4,Viaja raramente,0,0,28,27,10,15,7,0,3,15,2
571,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Não viaja,0,0,12,11,7,6,7,0,3,14,2
573,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,4,22,18,13,13,11,0,3,19,5
574,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,5,20,5,0,0,4,0,3,13,2
575,Pesquisa e Desenvolvimento,Diretor de Pesquisa,4,Viaja raramente,0,6,26,3,2,0,1,0,3,13,2
577,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,6,5,4,4,3,0,3,15,2
578,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,7,19,1,0,0,0,0,3,11,3
579,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,3,14,7,3,5,7,0,3,12,3
580,Vendas,Executivo de Vendas,3,Viaja raramente,1,2,15,3,2,1,2,0,3,19,3
581,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,0,1,13,13,8,0,8,0,4,25,6
582,Pesquisa e Desenvolvimento,Gerente,3,Viaja raramente,1,7,15,7,6,7,7,1,3,12,2
584,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,7,8,4,3,1,3,1,3,13,2
585,Vendas,Representante de Vendas,1,Viaja raramente,0,0,4,3,2,1,2,0,3,14,3
586,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,1,4,10,8,7,0,0,0,3,12,2
587,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja frequentemente,0,3,12,1,0,0,0,1,3,12,2
590,Recursos Humanos,Recursos Humanos,3,Viaja frequentemente,1,9,11,3,2,0,2,1,3,15,2
591,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,4,8,2,2,2,0,0,3,17,4
592,Vendas,Executivo de Vendas,3,Não viaja,0,1,10,10,3,9,7,0,3,14,3
593,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,5,4,2,2,1,2,1,3,16,3
595,Vendas,Executivo de Vendas,2,Viaja raramente,0,2,14,9,7,6,7,0,3,14,2
597,Vendas,Gerente,4,Viaja raramente,0,3,37,10,9,7,7,0,4,23,2
599,Vendas,Executivo de Vendas,2,Não viaja,0,7,16,14,3,1,10,0,3,14,3
600,Vendas,Executivo de Vendas,2,Viaja raramente,0,9,15,11,9,6,9,0,3,11,2
601,Pesquisa e Desenvolvimento,Diretor de Produção,4,Viaja raramente,0,7,22,20,6,5,13,0,3,15,3
602,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,1,8,8,3,0,7,0,3,11,3
604,Vendas,Executivo de Vendas,2,Viaja raramente,1,4,10,6,5,0,5,0,3,13,2
605,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,1,1,10,10,9,5,8,0,4,21,5
606,Vendas,Executivo de Vendas,2,Viaja raramente,0,0,9,8,7,3,7,0,3,19,3
608,Recursos Humanos,Recursos Humanos,1,Viaja frequentemente,1,0,8,7,7,1,0,1,3,11,2
611,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,4,8,3,2,1,2,0,3,12,2
612,Pesquisa e Desenvolvimento,Diretor de Pesquisa,4,Viaja raramente,0,4,10,6,1,0,5,0,3,19,2
613,Vendas,Gerente,3,Viaja raramente,0,9,10,5,4,0,1,0,4,21,3
614,Vendas,Representante de Vendas,1,Viaja frequentemente,1,1,0,0,0,0,0,1,3,14,3
615,Vendas,Executivo de Vendas,3,Não viaja,0,3,20,1,0,0,1,0,3,15,2
616,Pesquisa e Desenvolvimento,Representante de Saúde,2,Não viaja,1,2,10,8,7,0,7,0,3,17,3
618,Vendas,Executivo de Vendas,2,Viaja raramente,0,5,8,0,0,0,0,0,3,12,5
620,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,5,5,4,0,3,0,3,16,3
621,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,10,10,7,5,7,0,3,12,3
622,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,1,1,1,0,0,0,1,3,18,3
623,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,0,4,12,6,5,1,2,0,3,17,3
624,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja frequentemente,0,5,28,2,2,1,2,0,3,11,3
625,Vendas,Gerente,4,Viaja raramente,0,7,22,18,16,11,8,0,3,16,2
626,Vendas,Executivo de Vendas,3,Não viaja,0,1,9,9,5,7,7,0,3,13,6
630,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,1,3,18,10,9,6,9,0,3,12,3
631,Vendas,Executivo de Vendas,2,Não viaja,0,8,6,4,2,1,2,1,3,12,2
632,Vendas,Representante de Vendas,1,Viaja frequentemente,0,0,3,2,2,2,1,0,3,13,3
634,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,3,18,1,0,0,0,0,3,19,4
635,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,6,8,6,5,4,3,0,3,12,2
638,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,1,1,31,31,9,0,9,0,3,17,5
639,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,1,6,6,5,1,4,0,3,11,3
641,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,6,5,3,1,4,0,4,20,5
643,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,0,0,4,21,2
644,Recursos Humanos,Gerente,5,Viaja frequentemente,0,1,32,32,5,10,7,0,3,11,2
645,Vendas,Representante de Vendas,1,Viaja raramente,0,1,7,7,4,0,6,0,3,11,1
647,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,1,1,6,6,3,1,2,1,3,16,4
648,Vendas,Representante de Vendas,1,Viaja frequentemente,0,1,1,1,0,0,0,1,3,18,2
649,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,1,6,6,5,1,3,0,3,13,3
650,Vendas,Executivo de Vendas,2,Viaja raramente,0,2,9,3,1,1,2,1,3,17,2
652,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,4,9,3,2,0,2,0,3,14,3
653,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,13,7,7,5,7,0,4,22,4
